req=0000, grant=0000, mask=0000
req=0001, grant=0001, mask=0000
req=0010, grant=0010, mask=0001
req=0011, grant=0001, mask=0000
req=0100, grant=0100, mask=0011
req=0101, grant=0001, mask=0000
req=0110, grant=0100, mask=0011
req=0111, grant=0010, mask=0001
req=1000, grant=1000, mask=0111
req=1001, grant=0001, mask=0000
req=1010, grant=1000, mask=0111
req=1011, grant=0010, mask=0001
req=1100, grant=1000, mask=0111
req=1101, grant=0100, mask=0011
req=1110, grant=0010, mask=0001
req=1111, grant=0001, mask=0000
test/arbiter_round_robin_tb.sv:47: $finish called at 270 (1s)
